umur,jenis_kelamin,pekerjaan,provinsi,gaji,is_menikah,is_keturunan,berat,tinggi,sampo,is_merokok,pendidikan,botak_prob
36,Perempuan,Pegawai swasta,Yogyakarta,14179627.74,0,1,61.82798485,163.9395944,Deadbuoy,0,SMA,0.442216909
30,Laki-laki,PNS,Yogyakarta,9932670.066,0,1,53.98197177,157.2293731,Merpati,0,S1,0.716903627
48,Laki-laki,PNS,Ambon,16443550.17,0,0,56.85125312,162.8706911,Pantone,0,SMA,0.431264158
34,Laki-laki,PNS,Tanjungselor,5619398.947,0,1,50.55365948,157.1390621,Pantone,0,SMP,0.549223862
43,Laki-laki,,Ambon,3959176.966,0,0,55.34220107,158.8701544,Deadbuoy,1,SMP,0.474800772
49,Laki-laki,Freelance,Banjarmasin,5354801.812,0,0,55.15318078,159.1165091,Deadbuoy,0,SD,0.22457434
45,Laki-laki,Freelance,Banda Aceh,10541642.57,0,1,51.90984616,157.7135269,Shoulder & Head,0,SMA,0.507026483
43,Laki-laki,PNS,Bandung,9706705.479,0,0,60.86832259,161.0915163,,0,S1,0.394408228
47,Laki-laki,Pegawai swasta,Ambon,8008017.092,0,0,49.710488,149.0759195,Merpati,0,S1,0.292966479
55,Perempuan,PNS,Pekanbaru,22693961.33,0,1,47.08617062,149.3235858,Deadbuoy,1,S1,0.879180488
34,Laki-laki,Freelance,Banda Aceh,7650848.222,0,0,44.20458521,155.1266908,Moonsilk,0,S1,0.098419269
13,Perempuan,Pengangguran,Tanjung Pinang,5873240.866,0,0,50.85158351,157.6876956,Merpati,1,S1,0.513231649
31,Laki-laki,PNS,Serang,8554167.466,0,0,52.60951225,150.7437041,Merpati,0,S1,0.328224386
32,Laki-laki,Pegawai swasta,Gorontalo,2922671.43,0,0,84.91540715,168.0356037,Shoulder & Head,0,S1,0.219947123
24,Laki-laki,PNS,Mataram,4308049.312,0,0,58.44858747,163.3910569,Pantone,0,S1,0.257516662
48,Perempuan,Freelance,Pangkalpinang,7219947.471,0,0,61.29756642,164.013383,Merpati,0,SMA,0.177902734
33,Laki-laki,Pegawai swasta,Jakarta,1945540.57,0,1,61.69063767,152.2846679,Shoulder & Head,0,SMA,0.464098384
45,Perempuan,Pegawai swasta,Bandung,14518234.77,0,0,61.89348933,170.1568225,Pantone,0,S2,0.194447423
38,Laki-laki,Pegawai swasta,Samarinda,5777159.015,0,0,78.92890858,168.2496979,Merpati,1,S1,0.299399988
37,Perempuan,Freelance,Surabaya,13767989.01,0,1,62.02898062,162.8109027,Shoulder & Head,1,S1,0.467371048
52,Perempuan,PNS,Pangkalpinang,5017832.479,0,0,49.88260468,160.5817179,Merpati,1,SMA,0.510772933
33,Laki-laki,Freelance,Mamuju,7895491.666,0,0,50.73975488,151.394437,Moonsilk,1,S1,0.263790542
45,Perempuan,Pegawai swasta,Pontianak,9440019.327,0,0,64.25406954,166.6938983,Merpati,1,S1,0.247715212
41,Perempuan,PNS,Palembang,5304095.391,0,1,64.64418808,161.2194955,Pantone,1,SMA,0.701242261
34,Laki-laki,Pegawai swasta,Gorontalo,3816546.483,0,0,54.15952322,155.237067,Pantone,0,S2,0.266904095
35,Perempuan,Freelance,Banda Aceh,13063322.85,0,0,47.71064316,154.6196659,Moonsilk,1,S2,0.156871783
42,Laki-laki,PNS,Surabaya,17335940.23,0,1,53.49126556,153.4585938,Pantone,1,S1,0.887990363
58,Perempuan,Pegawai swasta,Mamuju,6589283.474,0,0,58.22888952,166.590525,Shoulder & Head,0,SD,0.302112923
34,Laki-laki,Pegawai swasta,Medan,8090443.747,0,0,51.23148154,154.5730238,Shoulder & Head,0,S1,0.191403089
50,Laki-laki,Pegawai swasta,Palu,7430302.516,0,0,49.28677822,165.6654256,Moonsilk,0,SMA,0.251703508
39,Laki-laki,Pegawai swasta,Sofifi,6430401.973,0,0,52.94035415,165.3259244,Pantone,1,SMP,0.316637097
35,Laki-laki,PNS,Banjarmasin,6445696.912,0,0,53.25786444,155.9543042,Moonsilk,0,S1,0.308728765
41,Laki-laki,Pegawai swasta,Palangkaraya,8928094.329,0,0,59.34030249,161.4670277,Shoulder & Head,0,S1,0.382430656
46,Laki-laki,PNS,Pontianak,7393121.682,0,0,52.03417954,155.158564,Moonsilk,0,SMA,0.387237018
46,Laki-laki,Pegawai swasta,Kendari,4048905.091,0,0,46.31131889,155.2499961,Merpati,0,S2,0.301476828
42,Laki-laki,Pegawai swasta,Jayapura,13523074.14,0,0,53.27396424,154.9349854,Merpati,0,SD,0.30748511
36,Laki-laki,Freelance,Tanjung Pinang,10667760.02,0,0,77.6010108,164.6565479,Shoulder & Head,0,S2,0.19191943
39,Perempuan,PNS,Banda Aceh,14616101.28,0,0,44.85237608,153.1883876,Shoulder & Head,1,S1,0.291680577
36,Laki-laki,Pegawai swasta,Padang,7488820.838,0,0,48.17066169,149.2090018,Merpati,0,SMA,0.143531619
39,Laki-laki,PNS,Mataram,7086298.912,0,0,49.35042494,151.5437077,Pantone,1,S1,0.382531831
38,Laki-laki,Freelance,Ambon,9595934.972,0,0,51.79649493,157.0808228,Pantone,0,S1,0.142722072
53,Perempuan,PNS,Bandung,10274626.4,0,0,82.45373637,161.3894,Pantone,0,S1,0.377848686
31,Perempuan,Pegawai swasta,Padang,13405990.17,0,0,60.34298349,152.8527995,Moonsilk,0,S1,0.078831458
37,Perempuan,PNS,Palembang,11601810.68,0,0,49.08193715,154.2565732,Merpati,0,S1,0.324692914
52,Laki-laki,PNS,Mataram,7967224.125,0,0,59.58810927,155.0384625,Deadbuoy,1,SMA,0.692310416
53,Laki-laki,PNS,Manokwari,4417537.213,0,0,63.99692698,170.6828248,Deadbuoy,0,S1,0.407355731
28,Perempuan,Pegawai swasta,Semarang,7220128.704,0,0,71.81999958,159.9671791,Pantone,1,S1,0.163058207
42,Laki-laki,PNS,Samarinda,9153055.497,0,1,50.68965041,152.2942279,Merpati,0,S1,0.662300517
42,Laki-laki,PNS,Samarinda,10457204.2,0,0,50.35460019,152.1027183,Deadbuoy,1,S1,0.479402461
57,Perempuan,PNS,Pangkalpinang,5814987.643,0,0,54.31324427,153.3297559,Deadbuoy,1,S1,0.598913571
43,Laki-laki,Pegawai swasta,Manokwari,3176921.216,0,0,58.87312066,165.3301502,Pantone,0,S2,0.358213677
40,Laki-laki,Pegawai swasta,Semarang,7710065.107,0,0,50.62253595,159.13062,Moonsilk,1,S2,0.307555083
35,Laki-laki,Pegawai swasta,Jakarta,13448767.19,0,0,52.58356908,153.2909447,Deadbuoy,0,S1,0.317221667
27,Perempuan,Pegawai swasta,Ambon,12626604.73,0,0,52.76214184,157.0327513,Pantone,0,SMA,0.128030009
31,Laki-laki,Pengangguran,Serang,4008469.968,0,1,49.81060106,159.872426,Shoulder & Head,0,S2,0.871140903
35,Laki-laki,PNS,Sofifi,13086114.81,0,0,55.40996619,148.3984753,Shoulder & Head,1,S1,0.38290445
36,Perempuan,PNS,Manokwari,10588599.43,0,0,53.14324333,163.0028067,Merpati,0,S1,0.280694535
44,Perempuan,PNS,Jayapura,29332210.2,0,1,55.78709592,156.6350532,Moonsilk,1,SMA,0.880319403
40,Laki-laki,Pengangguran,Banda Lampung,7156067.532,0,1,54.56669197,160.6788718,Merpati,1,S1,0.916867502
45,Laki-laki,Freelance,Pangkalpinang,19801485.41,0,0,67.05812174,169.1390966,Merpati,1,S1,0.303967964
46,Laki-laki,Pegawai swasta,Denpasar,19455793.87,0,1,50.46954513,158.3921255,Shoulder & Head,0,SMA,0.680716056
41,Laki-laki,PNS,Palangkaraya,14423544.19,0,0,57.59388517,160.8690293,Shoulder & Head,1,S1,0.483978038
47,Perempuan,Pegawai swasta,Banda Aceh,3139458.644,0,1,59.60160605,153.4511242,Moonsilk,1,S1,0.682244412
42,Laki-laki,Pegawai swasta,Banda Lampung,5035716.696,0,0,51.44194056,158.8707222,Moonsilk,0,SD,0.317734975
37,Perempuan,PNS,Jayapura,3610090.475,0,1,70.519624,167.6520027,Pantone,0,SMA,0.503432783
42,Perempuan,Pegawai swasta,Bandung,4391038.988,0,0,50.96592425,146.9110216,Merpati,0,SMA,0.302842432
59,Laki-laki,Pegawai swasta,Bandung,22545228.4,1,0,57.0171601,159.90749,Merpati,1,SMA,0.629340435
45,Laki-laki,Pegawai swasta,Jayapura,6144356.795,0,0,56.14515606,160.0981921,Pantone,1,S1,0.453764296
33,Laki-laki,Pegawai swasta,Padang,8604213.586,0,0,54.50343939,156.2490194,Deadbuoy,0,S1,0.150448608
15,Laki-laki,Pegawai swasta,Samarinda,5160213.515,0,0,56.82159161,161.2340191,Merpati,0,SMA,0.152654142
53,Laki-laki,Pengangguran,Kupang,8590899.833,0,0,48.82529161,155.5072268,Merpati,1,S1,0.830145017
48,Laki-laki,Pegawai swasta,Jambi,14155583.55,0,1,54.52313943,158.2606616,Moonsilk,0,S1,0.654059663
47,Perempuan,Pegawai swasta,Serang,2441228.017,0,0,54.44695713,161.2377333,Shoulder & Head,1,S1,0.279389074
43,Laki-laki,Freelance,Padang,4373387.935,0,1,48.59768603,149.9334634,Pantone,1,SD,0.600152493
50,Laki-laki,PNS,Jayapura,4022406.03,0,0,43.6986046,154.0756752,Moonsilk,1,S1,0.541991933
40,Laki-laki,Pegawai swasta,Palangkaraya,5915318.3,0,0,46.80704572,157.1257307,Merpati,1,SD,0.338832729
54,Laki-laki,PNS,Medan,6341518.835,0,1,58.28503851,159.0511575,Deadbuoy,0,S1,0.859237816
40,Laki-laki,PNS,Tanjung Pinang,11870242.44,0,0,64.28471591,163.0223457,Merpati,0,S2,0.28882252
32,Laki-laki,PNS,Banda Aceh,14208123.69,0,0,63.71019419,164.0349146,Moonsilk,1,S1,0.463549496
44,Perempuan,Pengangguran,Gorontalo,16697482.25,0,0,45.84726336,151.9027319,Merpati,1,S1,0.66127883
34,Laki-laki,Pegawai swasta,Pekanbaru,4437582.016,0,0,53.48448897,151.8327651,Shoulder & Head,1,S1,0.342700663
59,Laki-laki,Pegawai swasta,Mataram,4924570.789,1,0,43.68370542,148.5561181,Merpati,0,S1,0.614483696
25,Laki-laki,PNS,Yogyakarta,15633665.53,0,0,53.59402622,156.5680437,Pantone,0,S1,0.389608777
30,Laki-laki,Pegawai swasta,Samarinda,7115746.61,0,1,62.91801166,150.7996688,Pantone,0,S1,0.539567747
50,Perempuan,Pegawai swasta,Banda Lampung,5422406.606,0,0,53.60012676,163.3101789,Shoulder & Head,1,SMA,0.223121117
34,Perempuan,Pegawai swasta,Palangkaraya,10554931.94,0,0,68.89282127,167.071342,Merpati,1,S1,0.224279437
58,Perempuan,PNS,Mamuju,19093992.54,0,0,58.60433574,154.3404014,Pantone,1,S1,0.619066322
25,Laki-laki,Pengangguran,Banda Aceh,11032391.58,0,1,63.85646308,155.899747,Merpati,1,S1,0.992524113
45,Laki-laki,PNS,Jambi,7507561.877,0,0,66.97891051,157.8488152,Pantone,1,SMP,0.573464519
52,Laki-laki,Pegawai swasta,Padang,6497131.031,0,0,83.24572924,168.7761399,Deadbuoy,0,S1,0.425529032
39,Laki-laki,Pegawai swasta,Makassar,10016669.81,0,0,64.91749304,153.4116694,Deadbuoy,0,S1,0.255483097
31,Perempuan,PNS,Mataram,8164226.599,0,0,62.57926472,168.7654093,Shoulder & Head,1,SMA,0.322736239
42,Perempuan,Pegawai swasta,Gorontalo,12843911.73,0,0,49.02860466,153.3686687,Deadbuoy,0,SMA,0.302718707
43,Perempuan,Pengangguran,Pontianak,11815181.47,0,0,53.35377492,145.9357382,Moonsilk,0,SMA,0.539008247
49,Laki-laki,PNS,Banda Lampung,12937652.73,0,0,49.64506859,148.8599113,Shoulder & Head,0,S1,0.378175291
46,Laki-laki,Freelance,Tanjung Pinang,19068957.37,0,0,55.57433063,165.5573825,Shoulder & Head,1,S1,0.318276317
43,Laki-laki,PNS,Jambi,11236312.08,0,0,50.3980395,151.5558993,Shoulder & Head,0,SMA,0.479908348
44,Perempuan,Pegawai swasta,Jambi,9472638.528,0,0,56.19907738,156.9328219,Shoulder & Head,1,SMA,0.270079028
56,Perempuan,Pengangguran,Manokwari,6856201.09,0,0,53.22938607,164.6906927,Moonsilk,0,S1,0.60899112
32,Laki-laki,Pegawai swasta,Manokwari,8352830.019,0,0,55.88025973,152.1290845,Pantone,1,S1,0.325130721
34,Laki-laki,PNS,Ambon,8783353.808,0,0,57.7622658,159.393276,Merpati,1,S1,0.464535352
49,Perempuan,Freelance,Mataram,18593994.47,0,1,51.70678062,159.5035962,Merpati,0,S1,0.482015938
43,Perempuan,Pegawai swasta,Ambon,6469064.837,0,0,52.23316301,153.780033,Moonsilk,0,S1,0.208409084
52,Laki-laki,Pegawai swasta,Jambi,,0,0,48.53036951,156.8324204,Deadbuoy,1,SMP,0.515846512
46,Laki-laki,Pegawai swasta,Gorontalo,11992707.41,0,0,70.98903115,166.5540914,Shoulder & Head,1,SMA,0.376443562
34,Perempuan,PNS,Palembang,16735604.52,0,1,52.15957645,153.4866664,Shoulder & Head,0,S1,0.546902798
51,Laki-laki,Pegawai swasta,Palangkaraya,13968343.69,0,0,49.91217809,157.3417221,Merpati,0,S1,0.432510174
50,Laki-laki,PNS,Palangkaraya,7618566.722,0,0,49.58698861,159.0897163,Shoulder & Head,0,SMA,0.388784501
49,Laki-laki,PNS,Makassar,9106666.605,0,0,65.20900585,163.4003457,Pantone,1,SMP,0.490731632
33,Laki-laki,PNS,Banda Aceh,5245528.698,0,0,66.8944839,163.0134665,Merpati,1,S2,0.421601821
29,Laki-laki,PNS,Surabaya,5206029.086,0,0,48.37091263,156.0926445,Shoulder & Head,0,SD,0.291109798
57,Laki-laki,Pegawai swasta,Mataram,13696929.29,0,0,51.3725845,152.4875744,Moonsilk,0,S1,0.481348864
21,Laki-laki,Pengangguran,Denpasar,5262610.17,0,0,58.39922071,150.3330588,Moonsilk,0,S1,0.508438406
44,Perempuan,PNS,Samarinda,5448507.262,0,0,51.48257457,152.963887,Deadbuoy,1,S1,0.417372371
49,Laki-laki,Pegawai swasta,Kendari,10621095.73,0,0,61.47400721,164.3610344,Shoulder & Head,1,S1,0.415331364
38,Laki-laki,PNS,Sofifi,12970774.59,0,0,59.30585335,161.2961929,Merpati,0,S2,0.335912171
28,Perempuan,Pegawai swasta,Yogyakarta,8330839.902,0,0,60.04779156,162.2166501,Moonsilk,0,S1,0.1187301
50,Laki-laki,Pegawai swasta,Makassar,17195604.19,0,1,55.64288149,156.2014827,Shoulder & Head,1,SMA,0.615264893
41,Laki-laki,PNS,Jakarta,10714066.96,0,0,63.15211015,164.9146201,Merpati,0,SMA,0.395318717
37,Perempuan,Pegawai swasta,Tanjungselor,12787554.1,0,0,52.97064917,161.6855298,Pantone,1,SMA,0.25597892
35,Laki-laki,Pegawai swasta,Kupang,5666093.457,0,0,47.48146539,151.8237326,Pantone,0,S1,0.249075528
42,Laki-laki,PNS,Mamuju,7415999.735,0,0,60.26818011,160.2389993,Deadbuoy,0,SMA,0.517369375
31,Perempuan,PNS,Palu,9684281.874,0,0,48.42879668,163.1104402,Pantone,0,S1,0.312839095
40,Laki-laki,Pegawai swasta,Bandung,6537769.86,0,0,67.37731757,160.223787,Merpati,0,S1,0.22546653
35,Laki-laki,PNS,Jayapura,11566262.21,0,1,60.8149115,165.9262082,Shoulder & Head,0,S1,0.572444894
40,Laki-laki,Pegawai swasta,Banjarmasin,9887114.909,0,1,53.13747993,161.5486023,Merpati,1,S1,0.617298361
36,Perempuan,Pegawai swasta,Denpasar,6884507.594,0,0,74.10685253,160.0431904,Shoulder & Head,0,S2,0.061715135
43,Laki-laki,PNS,Medan,5891276.191,0,0,55.36066643,156.3520098,Pantone,1,SMA,0.556503742
48,Laki-laki,PNS,Samarinda,29377424.29,0,0,64.33637633,162.8969423,Shoulder & Head,1,SMA,0.634095043
29,Laki-laki,PNS,Surabaya,23090178.42,0,0,63.55908985,159.0981825,Merpati,0,S1,0.306344116
50,Laki-laki,,Kupang,6834071.446,0,0,51.26041068,155.5319971,Shoulder & Head,0,S1,0.297541758
61,Perempuan,PNS,Tanjung Pinang,7499080.668,1,0,53.45980402,161.1786623,Shoulder & Head,1,S1,0.647464969
41,Perempuan,Pegawai swasta,Makassar,9938255.263,0,0,50.06539617,162.0632117,Shoulder & Head,1,S1,0.264758321
37,Laki-laki,Pegawai swasta,Tanjungselor,6846572.305,0,1,50.74164913,147.3873813,Deadbuoy,0,SMA,0.588632961
28,Perempuan,Freelance,Samarinda,10900781.59,0,0,64.46881925,161.7014228,,1,S2,0.133684153
53,Laki-laki,PNS,Kupang,3178615.391,0,0,52.51669055,167.4755595,Moonsilk,1,SMA,0.578658214
52,Laki-laki,Pegawai swasta,Serang,11853242.33,0,0,56.6102133,154.5509802,Deadbuoy,0,S1,0.417661073
40,Laki-laki,Pegawai swasta,Tanjungselor,4883516.395,0,0,46.15014707,151.6484403,Pantone,0,S1,0.162672092
36,Laki-laki,Pegawai swasta,Pontianak,5193230.778,0,0,67.96682423,159.0321359,Deadbuoy,1,SMA,0.292891794
38,Laki-laki,Freelance,Samarinda,4310092.322,0,0,50.53955344,154.2130942,Deadbuoy,0,SMA,0.076646381
42,Perempuan,PNS,Palembang,9989077.13,0,0,94.72620615,170.4002418,Moonsilk,0,SMA,0.335061154
38,Perempuan,PNS,Makassar,5451652.737,0,1,55.49242213,156.3586558,Merpati,1,SMA,0.630984116
33,Laki-laki,Pegawai swasta,Bengkulu,5757412.404,0,0,59.14067766,152.6942809,Shoulder & Head,0,S2,0.243820007
41,Perempuan,Pegawai swasta,Banda Aceh,3822512.443,0,0,50.87168233,162.9377483,Deadbuoy,1,SD,0.3573629
45,Laki-laki,PNS,Surabaya,5315533.171,0,0,60.1392794,157.7909102,Pantone,0,S3,0.419470704
47,Laki-laki,Pegawai swasta,Jambi,13110042.53,0,0,56.22206073,160.9174038,Merpati,1,SMA,0.465640343
18,Laki-laki,PNS,Palangkaraya,15506721.82,0,0,62.20594507,168.8873964,Shoulder & Head,0,S1,0.411651605
52,Perempuan,PNS,Semarang,8718016.114,0,1,47.23379254,159.9823821,Merpati,0,S1,0.667431328
25,Perempuan,PNS,Banda Lampung,6402938.585,0,0,64.76881447,166.3287473,Shoulder & Head,0,SMA,0.167878602
31,Laki-laki,PNS,Gorontalo,6869327.871,0,1,50.32115658,150.6835689,Shoulder & Head,0,SD,0.649248236
41,Laki-laki,PNS,Semarang,6252184.582,0,1,86.50022822,166.5520524,Pantone,1,SMP,0.987044644
57,Laki-laki,PNS,Palangkaraya,12463087.19,0,0,52.57954404,155.0697991,Moonsilk,1,S1,0.631799998
54,Laki-laki,,Pontianak,8812942.751,0,1,53.45668565,158.4083137,Merpati,0,S2,0.639060059
46,Laki-laki,Pegawai swasta,Pangkalpinang,6172531.15,0,1,51.62386958,152.8030527,Moonsilk,1,S2,0.800752276
43,Laki-laki,Freelance,Kendari,18139453.74,0,0,56.36782863,161.7559967,Shoulder & Head,0,S1,0.220060573
49,Laki-laki,Pegawai swasta,Makassar,8897277.111,0,0,72.49174145,164.5310147,Deadbuoy,1,S1,0.378540633
31,Perempuan,PNS,Gorontalo,7909546.824,0,0,53.40942394,166.9861633,Deadbuoy,0,S1,0.214672757
27,Laki-laki,Pegawai swasta,Palu,26604909.87,0,1,49.02558424,160.9724233,Pantone,1,S2,0.67801095
43,Laki-laki,Pegawai swasta,Ambon,16703947.09,0,0,59.87531817,161.1746374,Deadbuoy,1,S2,0.487071287
35,Laki-laki,Pegawai swasta,Bengkulu,8373929.887,0,0,46.02475808,156.2441569,Deadbuoy,1,S1,0.339849915
31,Perempuan,PNS,Jambi,10408628.7,0,1,51.18996202,154.646922,Shoulder & Head,0,S1,0.520141742
45,Perempuan,Pegawai swasta,Jayapura,6757311.34,0,0,49.95582432,159.3829213,Shoulder & Head,1,S1,0.287613631
24,Laki-laki,PNS,Palangkaraya,9520109.904,0,0,,142.3530563,Pantone,1,S1,0.380111571
46,Laki-laki,Pegawai swasta,Ambon,17745635.08,0,1,61.78474162,162.5710717,Moonsilk,1,S3,0.721482143
24,Laki-laki,Freelance,Banjarmasin,3728835.129,0,0,83.42683137,160.1097361,Deadbuoy,0,SMA,0.06956451
28,Laki-laki,PNS,Jayapura,13234944.21,0,0,56.60941907,157.5971616,Moonsilk,1,SMA,0.447584454
35,Laki-laki,Pegawai swasta,Yogyakarta,17061725.24,0,0,52.67602669,156.7768184,Deadbuoy,1,S1,0.412691991
34,Perempuan,Pegawai swasta,Jayapura,10889716,0,0,46.02504853,147.3174113,Moonsilk,0,S1,0.190039716
40,Laki-laki,Freelance,Banjarmasin,9862169.243,0,0,59.7856323,164.4571554,Pantone,0,S1,0.144953309
22,Laki-laki,PNS,Mamuju,12219533.54,0,0,70.63500388,165.7094363,Moonsilk,0,SMA,0.42767894
43,Laki-laki,PNS,Gorontalo,12423036.05,0,0,65.59020351,166.0186835,Moonsilk,1,S1,0.568829808
35,Laki-laki,PNS,Serang,9197044.212,0,0,53.52905814,159.7818619,Merpati,0,S1,0.276641109
35,Perempuan,Pegawai swasta,Makassar,6110092.691,0,1,65.31310483,153.2584796,Moonsilk,1,S1,0.439517852
38,Laki-laki,Pegawai swasta,Palangkaraya,13378305.77,0,0,52.35201255,156.1394684,Merpati,1,SMP,0.276752815
43,Laki-laki,Pegawai swasta,Surabaya,7741123.274,0,0,48.96949735,158.8565441,Shoulder & Head,1,S3,0.467997836
28,Perempuan,PNS,Jakarta,6450148.181,0,0,51.76617624,154.2881316,Pantone,0,S1,0.120312539
40,Laki-laki,Freelance,Pekanbaru,5970854.112,0,0,56.66247236,159.7133392,Merpati,0,S1,0.213326102
43,Perempuan,Pegawai swasta,Banda Lampung,7699682.13,0,0,56.02780481,155.0926533,Merpati,0,SMA,0.178061241
48,Laki-laki,PNS,Palembang,13714744.67,0,0,79.4126127,164.5611102,Deadbuoy,0,SMA,0.422725553
29,Laki-laki,Freelance,Samarinda,7550240.821,0,0,49.91767413,161.952653,Shoulder & Head,1,SD,0.265001674
38,Laki-laki,PNS,Manokwari,17111879.11,0,0,47.23885644,146.1258911,Moonsilk,1,SMP,0.466232506
35,Laki-laki,PNS,Serang,9503264.658,0,0,46.89578174,162.7775991,Shoulder & Head,1,SMA,0.463276456
48,Laki-laki,PNS,Tanjung Pinang,6548507.613,0,0,51.7038762,151.5667374,Merpati,0,SMA,0.496436787
40,Laki-laki,PNS,Banjarmasin,4991194.417,0,0,55.10528345,158.7234844,Pantone,1,S2,0.534899724
43,Laki-laki,Pegawai swasta,Tanjung Pinang,26493440.47,0,0,57.9865516,162.6504567,Shoulder & Head,0,SD,0.368546338
40,Perempuan,PNS,Bandung,13540099.03,0,0,54.37431069,148.3035686,Moonsilk,1,S1,0.358300546
36,Laki-laki,PNS,Padang,7395589.692,0,0,49.89231184,158.1583574,Pantone,0,S1,0.35119277
28,Perempuan,Pengangguran,Medan,10364535.42,0,0,59.5594018,158.5777148,Shoulder & Head,0,SMA,0.47476298
46,Perempuan,PNS,Mamuju,3329565.889,0,0,63.19692279,160.6959263,Shoulder & Head,1,S1,0.437811627
25,Laki-laki,Pegawai swasta,Yogyakarta,6757508.557,0,0,52.4472754,152.8111887,Deadbuoy,1,SMA,0.368094894
37,Laki-laki,PNS,Pontianak,10561738.81,0,0,65.55048844,164.483918,Pantone,0,S1,0.399063421
39,Laki-laki,PNS,Padang,6865477.096,0,0,54.00808384,153.5216117,Merpati,0,S2,0.307120787
37,Perempuan,Pegawai swasta,Palembang,4681030.105,0,0,59.62482081,164.5495227,Moonsilk,1,S1,0.220360663
42,Laki-laki,Freelance,Medan,8134831.025,0,1,87.36587925,165.1959439,Deadbuoy,0,S1,0.539130871
29,Perempuan,Pegawai swasta,Manokwari,4989775.561,0,0,47.5094627,157.4578224,Moonsilk,1,S1,0.172075879
29,Perempuan,Pegawai swasta,Pekanbaru,8053379.153,0,1,48.33452118,158.1207409,Deadbuoy,0,SMA,0.527772897
25,Perempuan,PNS,Tanjung Pinang,11300384.56,0,0,49.37689705,159.6530107,Shoulder & Head,0,SMA,0.168109846
57,Perempuan,PNS,Tanjungselor,11227848.17,0,0,77.08054043,171.4209988,Deadbuoy,0,S2,0.400742148
23,Laki-laki,PNS,Jakarta,4358765.274,0,0,78.0196246,164.0037269,Pantone,0,S1,0.394403015
